Project Name,Artist Name,Additional Artists,Project Type,Abridged Project Text,Location (Internal),Schedule,Duration,Status,GPS Coordinates/Link (from Location NEW),Year or Permanent,R2,Latitude,Longitude
Baroque Sunburst,Jenne Giles,,Installation/Immersive Environment ,"A paper maché child's sweater covered in pale blue glitter like the sky suspended from a clothing line, an homage to the extraordinary in the ordinary.",Zig Zag Plaza,,,Confirmed,,Permanent,,,
San Litio (Saint Lithium),Tornado H.,,Installation/Immersive Environment ,"San Litio - 1905 - 1999

The divine saint of the Salton Sea, creator of lithium and protector of debris. 

Provides: youthful energy, calm reflections, and clean water. ",1st & Aisle of Palms,,,Confirmed,,Permanent,,,
okay you,Clifford Usher,,Facilitated Experience,"okay you, you're ok

Come breathe, stretch, and start your day with one of the oldest calm technologies: gentle yoga and ambient music designed to develop interoceptive awareness and genuine presence. No experience necessary. Bring a mat if you have one.",Henderson Hall,3/28/2026 10:00am,1:00,Confirmed,,,,,
Mamacita Junior the 3rd,Kariño Arrr,,Performance,"You are invited to experience the performance of love to Mamacita Junior the third, my tiny little minivan, which is my ever evolving home for the last 9 years.
",Showtown,,0:10,Confirmed,,,,,
The Salton Sea Museum and Library ,Christopher Landis,,Installation/Immersive Environment ,"Reopening at BBAC the Salton Sea Museum and Library has added new ephemera and titles representing the Salton Sea history and ecology. 
Additionally titles include topics covering Western Water, Deserts and Landscape studies. ",BBAC Center Bombay Beach Arts & Culture Center,,,Confirmed,https://maps.app.goo.gl/9xBv9RBxsDb2FWBq6,Permanent,,,
Ghost Cadillac ,Evan Holm,,Object ,"Ghost Cadillac is a loving and meticulously rendered full scale sculptural line drawing of a 1972 Cadillac El Dorado.  The 'wire frame' sculpture has no paneling,  so that the effect is like a skeleton leaf,  a transparent and ghostly embodiment of this classic American automobile.  ",,,,Confirmed,,Temporary 2026,,,
We are one,Olga Elias,,Object ,Yellow ribbons are suspended from a horizontal bar  for the wind to play. There is a marker to write wishes for the wind to take. The frame is 9 feet tall with the ribbons taking the space in the middle exposing the top part to the sky to watch while sitting on a provided chair. ,The Beach ,,,Confirmed,,Temporary 2026,,,
Tiny Closet On Wheels,Isaac Taylor,,Installation/Immersive Environment ,"The Tiny Closet On Wheels is a pop-up gay bar art car out of a pop-up truck camper. Cabincore maximilist ""man-cave"" aesthetics on the inside, and rainbow LEDs on the outside supporting an inclusive vibe and ",Roaming,3/27/2026 6:00pm,2:00,Confirmed,,Temporary 2026,,,
Curl,Sam Cooler,,Object ,Curl is a new flame effect piece inspired by the math and physics of electromagnetism. Twelve jets of pulsing fire on a beautiful twisting helix of copper and steel.,9536 Avenue D,,,Confirmed,,Temporary 2026,,,
HENDERSON HALL.  MZ Aqua Community Enrichment ProjectS *MACEPS,PIRATE MIKE,"Sharonda Clark, Mark Linck, Arabella Serrell",Venue,Henderson Hall is a new community space open to a wide variety of programing . Conceived of by MZ AQUA as her final legacy piece to elevate and support the community of Bombay Beach by providing a large open space with infinite possibilities .,Henderson Hall,3/21/2026 12:00am,23:50,Confirmed,,,,,
Bombay Beach Biennale App,Deborah Mowry,Auston Anon,Installation/Immersive Environment ,Please download this app at (this address) to see everything going on with the Bienalle and manage your artist presence independently. ,Digital,,,Confirmed,,Permanent,,,
PoP.  a MACEPS project,LucYSOL,Extension of GCEPS. guerilla community enrichment projects ,Installation/Immersive Environment ,A space you can walk through to engage with large sculptures ,,3/28/2026 12:00am,23:50,Confirmed,,Permanent,,,
Initials B.B. II,Olivia Fougeirol,Josephine Wister Faure,Object ,"A flag, an ode to impermanence
",Temple to the Scientific Method,,,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,Temporary 2026,,,
Akasha,Wanda Orme,,Installation/Immersive Environment ,"Calling to the waters that connect all life, Akasha is a symbol of hope and continuity – things slip through the cracks, life finds a way and through this unusual genesis new ideas are born. Where there is water there is life. At the shore of a dying sea, what can be done?",The Poetry House,,,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,Permanent,,33.3495351,-115.7265389
The Poetry House,Pharaoh,,Installation/Immersive Environment ,"The Poetry House is a center for poetry and spiritual restoration, celebrating poetry as a technology that translates emotions into tangible reality. Co-created by Pharaoh and Tao Ruspoli, participants are welcome to write their favorite verses on the walls... ",The Poetry House,,,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,Permanent,,33.3495351,-115.7265389
Pharaoh and Tarot,Pharaoh,,Facilitated Experience,"Tarot Readings at The Poetry House with Pharaoh! Readings are approximately ten minutes. Pay-what-you-can, offerings are also welcome!",The Poetry House,,4:00,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,,,33.3495351,-115.7265389
The Poetry Salon,Pharaoh,"Endless Poetry, Dulcinee DeGuere",Facilitated Experience,"The Poetry Salon is where the poets of Bombay Beach gather and offer the poems that have touched their hearts. Done entirely in silence, poetry springs forth from the most unexpected places. Bring a poem you know, or a poem you wrote. ",The Poetry House,,1:30,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,,,33.3495351,-115.7265389
Italia Fest,Gallo,,Film,"Have an old school italian festival with music food and drink (aperitivo) during sunset and then screen from Rome Italy, Anna Negri's, Venice Film Festival selected, feature Documentary. Toni mio Padre afterwards with Q&A",Little Little Italy,3/24/2026 7:00pm,4:00,Confirmed,,,,,
The Toll,"Daniel Taylor & Sucre Rosa,DANIEL TAYLOR",Daniel Taylor and Sucre Rosa,Object ,"""The Toll"" is a sound sculpture made from a recycled industrial propane tank. A heavy piece of industrial waste, transformed into a stationary bell designed to ring out the voices of those who were silenced for their activism.",The Poetry House,,,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,Temporary 2026,,33.3495351,-115.7265389
Bombay Beach Retrospective,Greg Haberny,Heidl Hasenauer,Venue,"In Celebration of the BBB’s tenth year Anniversary we will be curating a group show at The Foundation that will feature local, visiting and distant artists with works within the disciplines of 2D, 3D/Sculpture, assemblage and installation. ",Foundation Foundation,3/27/2026 7:00pm,0:00,Confirmed,https://maps.app.goo.gl/ydh4eH236sjGhm8H8?g_st=ic,,,,
Immortalization Of Self ,Jana Cruder ,Matthew LaPenta ,Object ,"A contemporary reimagining of idealized beauty, this piece contrasts classical art with today’s selfie culture. Inspired by Bertel Thorvaldsen’s Eve Holding an Apple, the marble replica replaces the apple with a smartphone, questioning whether modern self-image reflects vanity or addiction.",Zig Zag Plaza,,,Confirmed,,Temporary 2026,,,
Moral Development Dice Bar,Jessie James,James Bruschi,Food/Beverage,"Roll the dice, see what stage of moral development you've reached, and win a cocktail, mocktail, or a surprise! This will be a pre-party for the fashion show at Bliss Beach Club (happening around sunset). ",Bombay Beach Bliss Beach Club,3/28/2026 5:00pm,2:00,Confirmed,,,,,
Suspended Judgment,Paul Forte,,Object ,"Broken porcelain pavers form a low field: one side smooth, one side shards, with a few tiles painted as “repairs.” A black dog-shaped stone appears to lift off and leave. The work treats judgement as a sorting system—intact/broken, clean/ruined—and suggests the simplest verdict is to exit the scene.",The Beach ,,,Confirmed,,Permanent,,,
Salton Sailboat,Peter Nelson,,Object ,A memory of a sailboat fading with the memory of the resort.,The Beach ,,,Confirmed,,Permanent,,,
Bombay Bliss Beach Club,DANIELA ARDIZZONE,,Venue,Bombay Bliss Beach Club,Bombay Beach Bliss Beach Club,3/26/2026 8:00pm,4:00,Confirmed,,,,,
Affogato ,Jason Rider,"Darryl Curry, Suzanne Curry, Lacey Curry",Food/Beverage,"The night before was kind of rough, got up around 10:00, started running around looking at art had a taco at 11:00, starting to burn out and getting tired, as I raise my head the sun burning my eyes I see a line, it's affogatos",drakkar Noir,3/28/2026 3:00pm,2:00,Confirmed,,,,,
Empathy Bleed,Janenne Willis,,Lecture/Talk,"Empathy Bleed traces two contrasting bodies of water – California’s receding Salton Sea/ancient Lake Cahuilla and the biodiverse Western Port/Wurnmarrinh in Australia – exploring the charged space in between, empathy and breath. An artist edition of the book, and a live reading with be offered.  ",Bombay Beach Museum of Bombay Beach,3/28/2026 10:00pm,0:40,Confirmed,,,,,
Everything I Desire Is Already Mine,Reed McConnell,,Film,"A 10-minute video piece featuring mud pots and manifestation, looped. ",,,0:10,Confirmed,,,,,
Aperion ,Wanda Orme,,Installation/Immersive Environment ,"Aperion calls us into communion with the wild, unbounded intelligence of the beyond-human world; featuring a night-black dish holding salt water, with wings of glistening charcoal sourced from scorched local wetlands, drawing upon chimerism, transmutation & alchemy to speak to the beyond-human world",9543 Avenue H,,,Confirmed,,Permanent,,,
3D Therapy in Perspective,"Jimmy Mahaffey,Jimmy Mahaffey",,Installation/Immersive Environment ,"built of art like legos on 4'x6' panels, the installation is composed of 250 paintings digitized onto coreplast. this habitrail of my imagination is a construction of the places people and art i love so much I had to paint a picture of them and build them a cappella. ",3D,3/26/2026 5:00pm,1:00,Confirmed,,Permanent,,,
Echoes of a Dying Sea,Colin Jemmott,"Colin Jemmott, MJ Brovold",Installation/Immersive Environment ,"Echoes of a Dying Sea is a steel fish. Shout into its mouth and your voice travels to an underwater speaker in the Salton Sea, then returns through a hydrophone: transformed by salt and distance into smear, echo, and reverb.",The Beach ,,,Confirmed,,Temporary 2026,NO,,
Mella Tarantella--Risorga e Balla con i Morti e Vivi alla Fine Dei Giorni,Carmella Martinique Bonadio,,DJ,Dance for the End of Days,Temple to the Scientific Method,3/27/2026 9:00pm,2:00,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,Temporary 2026,NO,,
The Last Catch (what remains as everything drains away),Carolyn Weiner aka fancyVANDALS,collaberation with Spencer Little art,Installation/Immersive Environment ,"A 5-foot mirror-mosaic fish skeleton hangs from a hook at the Salton Sea. Part relic, part disco ball, part skeletal poem. A collaboration between fancyVANDALS and Spenser Little, it’s a monument to what still glitters when everything else drains away.",Beach: The Lighthouse,,,Confirmed,https://maps.app.goo.gl/TwDBRhwf5W3CSqow9?g_st=ic,Permanent,NO,33.3474497,-115.7293750
Remnant,Jorg Dubin,"Billy Fried, Christopher P ",Installation/Immersive Environment ,"A meditation on the nature of mass consumerism and global capitalism, and the devastating impact it has on our built and non-built environments, as well as the exploitation of disposable human capital. ",The Beach ,3/27/2026 11:00pm,23:50,Confirmed,,Permanent,NO,,
Small Mercies (A Diptych),Masha D'yans,,Object ,"A two-panel acrylic diptych born from a real encounter at a “protected” beach turned toxic. One panel conjures a wrecked afterlife of debris, beauty, and bodily threat; the other imagines an inner refuge that won’t fully seal. Folk wards ring the edges. Small mercies flicker inside.",Foundation Foundation,,,Confirmed,https://maps.app.goo.gl/ydh4eH236sjGhm8H8?g_st=ic,Temporary 2026,NO,,
Poof Alert,"""Brent """"Brent"""" Koehn "",Brent Koehn",,Object ,"What is that thing? 
Let's check it out. 
A polished steel form, crawling up from the sands of the beach, a cave for you to enter. 
Within, you see buttons! And pipes and hoses buried inside a writhing snake-like structure. 
What is this thing?
Press button. Fire erupts. Music happens.
:-D",The Beach ,3/28/2026 6:00pm,14:10,Confirmed,,"Temporary 2026,Permanent",NO,,
"Liminal Vessel: Omphalos, Marker of a Dead Sea",Caroline PM Jones,,Object ,"At the Salton Sea, Liminal Vessel: Omphalos, Marker of a Dead Sea rises as a witness to a slow collapse. Clay, light and void form a ceremonial object for a post - hope landscape - where judgement lingers, water withdraws, and the sublime persists amid decay.",The Beach ,,,Confirmed,,Temporary 2026,NO,,
Confessions Stand,Sydney Parcell,,Installation/Immersive Environment ,"Capture a photo with your sins, the only payment required is your confession. ",Roaming,,,Confirmed,,Temporary 2026,NO,,
Artemis makes a house call,Fleur Blumay,,Installation/Immersive Environment ,"In my surrealist conceptual offering I'm bringing magic and symbolism to the Salton Sea by inviting Artemis, the lady of the lake, to visit her home away from home, a hollow Redwood tree temple in a trailer, thus shifting shapes and playing with perception.",The Institute,3/19/2026 7:00pm,0:30,Confirmed,,Permanent,NO,,
Operating Conditions,"Julia Jerome,Julia Jerome",,Object ,"A structure rises from the water in tiers, built from steel armatures pierced with rawhide. The hide is gathered, stretched, and trailing, shifting from pliable to rigid as it dries from the sea, shrinking to tension the frame and mark receding water levels.",The Beach ,,,Confirmed,,Permanent,NO,,
FLESH VERDICT,Lyosha,Tarcila Neves,Installation/Immersive Environment ,"A ceremonial burning of a 7.5-foot driftwood figure animated by hyperrealist projections. Guests feed written judgments into the open frame. As the sculpture burns, a clay heart—fired by the heat—emerges from the ash, a permanent artifact of community persistence amidst infrastructure collapse.",Saturn,,,Confirmed,https://maps.app.goo.gl/khMiXhANH1tQrX6dA?g_st=ic,Temporary 2026,NO,33.3531966,-115.7314027
Messages from Space,"Sophi Kravitz,Sophi Kravitz","Sophi Kravitz, Sofy Yuditskaya, Ria Rajan, Oliver Tanner",Installation/Immersive Environment ,"Liz is 126 years old and choosing the date of her death. She has uploaded her memories to the near-far future archive: the Fire-Flood Years, five marriages, bioengineered hearts, the moment humanity chose to stay connected. Cosmic rays from outer space activate her voice. She left this for you.",Neptune,,,Confirmed,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,Temporary 2026,NO,33.3495432,-115.7318949
The Last Supper,"Joseph Swerdlin,Joseph Swerdlin",Paul Mayencourt & Irene Zhou,Installation/Immersive Environment ,"This is the Last Supper before it goes up in flames. A dining table and chairs to gather around before it becomes the bonfire on which we cook our meal. Sit down, eat and enjoy, before the set itself is consumed. 
",,4/11/2026 5:00pm,6:00,Confirmed,,Temporary 2026,NO,,
The SCAR Wash,"Kamau Zuberi Akabueze,Kamau Zuberi Akabueze",Mars College's Tool Camp and Co-Lab Communitues,Installation/Immersive Environment ,"Welcome to The SCAR Wash, a full-service detachment from the judgements we carry in the weight of our emotions. Here, you leave the opinions of others to be dissolved into the remnants of a dissolving sea. You may have arrived in a mistaken identity, yet in no way are you a mistake in motion.",2169 2nd St.,,,Confirmed,,Permanent,NO,,
Bombay Beach Surf Club,Arabella Serrell,,Installation/Immersive Environment ,"Bombay Beach Surf Club Sunset Sessions                                                                                       Come paddle out on the Salton Sea Surfboards provided 
",PoP,3/27/2026 6:00pm,1:00,Confirmed,,Temporary 2026,NO,,
The Thread of Life | Act III: Own your Fate,Catus Chaos,,Installation/Immersive Environment ,"“The Thread of Life | Act III: Own Your Fate” is an immersive ritual-performance where myth, ancestry, and craft colide. Guided by Nyx and the Moirai, participants are invited to own their fate and weave it into the Loom of Life.",2169 2nd St.,3/27/2026 5:15am,2:00,Confirmed,,Temporary 2026,NO,,
Numen,Alex Freund,,Installation/Immersive Environment ,"The NUMEN project situates painted and draped figures within desert and geological landscapes, examining how the sacred is constructed and projected onto flesh and earth. As fabrics, paints, and pigments intervene upon the body, the body itself becomes an intervention within the landscape.
",Dream Demon,,,Confirmed,,Temporary 2026,NO,,
ECOTECHNO 4DXYZ,Henry Hanson,,Venue,ECOTECHNO 4DXYZ is an immersive screening encounter that engages all seven senses to take stock of our long-negotiated relationship with and between nature and technology. ,Temple to the Scientific Method,,,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,,NO,,
Eat Pray Cult,Amy Brown Carver,,Performance,"What would it take for you to leave your comfortable life? Join Amy Brown Carver for 45-minutes of stand-up and collective comedy adventure about one woman’s search for freedom, meaning, and the closest flush toilet. ",Zig Zag Plaza,,0:50,Confirmed,,Temporary 2026,NO,,
My Niland II (Ten Checkpoints),Antimony Hussein,,Installation/Immersive Environment ,"Hussein, Antimony. My Niland II (Westward Journey). 2026. Video projection, multi-channel, buttermilk, car windshield, rear-view mirror. duration tbd, likely 24 hours.",Temple to the Scientific Method,3/27/2026 5:00pm,23:50,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,,NO,,
God Is / Sustenance,Courtney Alexander,,Installation/Immersive Environment ,"God Is / Sustenance centers the body and land as sacred sites. A living altar invites offering and reflection on embodied divinity, while immersive stations throughout the landscape guide participants into contemplation, reverence, and renewed relationship with the environment.",Dream Demon,,,Confirmed,,Permanent,NO,,
"Sun Shine Dreams: Legends of Bomabay Beach, Unconditional Love and Stuff",Brenda Kenneally,,Installation/Immersive Environment ,"An excursion through the essence of Bombay Beach led by the souls of those that lived it.

",Henderson Hall,3/28/2026 2:00pm,6:00,Confirmed,,Temporary 2026,FUCK YES,,
Cafe Bosna,Cafe Bosna,"Adisa Ziric, Dmytro Bershadskyy, Tah Rei, Sofia Gyenes, Priscila Madrigal, Spenser Little, Aaron Willcox, Rob Leifheit, Roberto Gutiérrez Osnaya, Taib, Marc Abouaf, Michaela Hares",Facilitated Experience,"An interdimensional portal to the world of ritual coffee, immersive art and global dance electronica.",The Bombay Beach Estates,3/27/2026 6:00pm,23:50,Confirmed,https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,Temporary 2026,FUCK YES,,
SYZYGY,Wanda Orme,Brandy Eve Allen,Installation/Immersive Environment ,"SYZYGY: a site-specific ritual lab weaving sculpture, anthropology, light & sound installation. We explore grief and ecological intelligence as fluid, transpersonal and transcorporeal processes, invoking ritual and sonic information as ancient technologies for coregulation, (re)connection & healing.",Shed,,,Confirmed,,Permanent,FUCK YES,,
America is burning,Charlotte De Cock,,Performance,its in the files,The Bombay Beach Estates,,9:00,Confirmed,https://maps.app.goo.gl/5pbYgb2r5bZLDweK8?g_st=ic,Temporary 2026,FUCK YES,,
The Holy Sinner’s Shrine,Bobby Coyote,,Object ,"Before Judgement, before Confession, one must Sin.",The Poetry House,,,Confirmed,https://maps.app.goo.gl/vZneWQfmWBoyax8c8?g_st=ic,Temporary 2026,FUCK YES,33.3495351,-115.7265389
Oracle Booth,Ygor Marotta,,Installation/Immersive Environment ,"           ORACLE BOOTH
      ───────────────

   a living system
   where time unfolds

      stars in motion
      bodies present

   presence
      shifts
      the state

   sound aligns
      between
      time
      and attention

   data becomes form

   chaos / computation
            vision",Pythia,,,Confirmed,https://maps.app.goo.gl/VNb5BU2ML3mZxdRM7?g_st=ic,Temporary 2026,FUCK YES,,
Glorious Holy Kings: Queer Heaven in Bombay Beach,"""Pharaoh, Regina Victor""","Dadaonysus, Isaac Taylor, Alex Pahl Skinner",Performance,"Glorious Holy Kings is a drag show highlighting Kings uniquely designed for Bombay Beach. The Queer community has faced many judgements through the years, and not one of them has stopped us from celebrating our most authentic selves! Kingdom comes in the land of milk, honey, and drag. ",Temple to the Scientific Method,3/27/2026 7:15pm,2:30,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,Temporary 2026,FUCK YES,,
Pyrotechnic symphony ,Jonathan Hart,Anonymous friends ,Performance,Multiple Firework shows & dazzling effects ,The Beach ,3/28/2026 10:00pm,15:00,Confirmed,,Temporary 2026,FUCK YES,,
Art Basil | Bombay,jmill,"jmill, Lucy Earth",Installation/Immersive Environment ,The world's premier contemporary fine herb fair comes to Bombay (Beach),,,,Confirmed,,Temporary 2026,FUCK YES,,
Dino pez dispenser ,Cody Orrell,Sarah Larsen ,Object ,"A massive pez dispenser Modeled after the late great Deno. A legendary Pez collector and a legendary man. It’s a joyful monument to  sweetness, hobbies, and the small rituals that survive us. Because grief, like candy, is easier to swallow when shared, unwrapped, and a little ridiculous.",Beach: Tesseract,,,Confirmed,https://maps.app.goo.gl/M4aRHYFgz3gvJtYr9?g_st=ic,Permanent,FUCK YES,33.3484921,-115.7293890
Bombay Beach Binoculars,Denali Brown,"Wiley Davis, Beth Karlin",Installation/Immersive Environment ,"Come see Bombay Beach through its first tourist binoculars. Instead of the present, the viewer reveals images of the town’s past and imagined futures, aligned to where you stand and look. A familiar device becomes a site-specific gallery for memory, anxiety, hope, and reflection.",Beach: Lemonade Stand,,,Confirmed,,Permanent,FUCK YES,,
Butterfly Pavilion ,April Leighton,,Installation/Immersive Environment ,The Butterfly Pavilion is an immersive experience created with colorful origami butterflies and flowers and lights creating a fantasy experience,Butterfly House,,,Confirmed,https://maps.app.goo.gl/ANiW4vR2XaEoB6Wg8?g_st=ic,Permanent,FUCK YES,,
Scale of judgement,"Scott Fitzel,Scott Fitzel",,Installation/Immersive Environment ,"Step up, lay down , stay the night if it feels right. bring  friends old and new, see what tips the scale in your favor and be judged or judged not",The Beach ,,,Confirmed,,Permanent,FUCK YES,,
ACTIVE SEA ENHANCEMENT PROJECT,"""Paul Glavin, Ben Meissner, Graham Sandelski""","Paul Glavin, Ben Meissner, Graham Sandelski, Cameron Overy",Installation/Immersive Environment ,"Cool… so you think you figured out how to solve all of Imperial County’s problems?

HA.

Snowball's chance in hell. ",The Beach ,,,Confirmed,,Temporary 2026,FUCK YES,,
StarShade,Sam Smith AKA Solar Sam,,Installation/Immersive Environment ,StarShade is rapidly-deployable self-replicating open-source solar-powered shade structure that converts sunlight into Love.,Neptune,,,Confirmed,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,Temporary 2026,FUCK YES,33.3495432,-115.7318949
Mapping the Sacrifice Zone,Uwe H. Martin,Frauke Huber,"Facilitated Experience,Object ","Residents map the forces shaping Bombay Beach: water politics, toxic dust, lithium extraction, community survival. Large-scale collaborative drawings debut at the Biennale, inviting visitors to add knowledge. The maps become living documents and permanent infrastructure for advocacy and planning.",Henderson Hall,,23:50,Confirmed,,Temporary 2026,FUCK YES,,
Algo(g)rave: The Manual for Dying,Katana Calderwood,Mars College cohorts - TBD,Installation/Immersive Environment ,"Death is inevitable, but the true horror is the infinite return. Inspired by Buddhist earthly hells, Algo(g)rave explores possibilities of disrupting the material-time mesh network of life. To escape the cycle, we move through recursive loops toward white noise—the soul’s final, static resolution.",The Beach ,3/27/2027 10:00pm,23:50,Confirmed,,Permanent,FUCK YES,,
"The Bombay Beach Country Club, The 6th Hole @Neptune ",Johnny G,,Installation/Immersive Environment ,"While clearing debris at a property on ave A, crews unearthed a putting green once belonging to the old Bombay Beach Country Club from its glory days in the 1960s.A restoration and a re-opening celebration is scheduled to coincide with theopening of Neptune,the latest addition to the BB solar system",Neptune,,,Confirmed,https://maps.app.goo.gl/UcJpkT6hnUwXDPVo6?g_st=ic,Permanent,FUCK YES,33.3495432,-115.7318949
Olive,"Nora Dell,Nora Dell",,Performance,"I participate in the BBB as a giant olive, letting the elements, environment, and other artists change and influence me. Over the course of the weekend, I devise/create a final performance, and perform it at midnight on Sunday. ",Zig Zag Plaza,3/29/2026 8:00pm,1:00,Confirmed,,Temporary 2026,FUCK YES,,
Quesadilla Communion,Isaac Taylor,,Facilitated Experience,"“Come to Cheesus” in an Old Time Religion styled tent revival as Rev. Earl E. Gaytes preaches about the one true whey of salvation. Expect a cheesy sermon, boxed wine communion, some food & fellowship to follow.",Temple to the Scientific Method,3/28/2026 11:00am,0:30,Confirmed,https://maps.app.goo.gl/iLzMcpWCByCG1EVS9?g_st=ic,Temporary 2026,FUCK YES,,
The Last Chord Divine,Kitty Green,,Performance,"I sought but to seek it vainly, 
that one lost chord divine; 
which came from the soul of the organ, 
and entered into mine. 
It may be that death's bright angel
Will speak in that chord again,
It may be that only in Heaven
I shall hear that grand Amen. 
",Henderson Hall,,0:20,Confirmed,,,FUCK YES,,
Grounded: Loss at the Salton Sea,Andee Strickland,,Object ,"""Grounded: Loss at the Salton Sea"" is a site-specific art installation at the Bombay Beach Marina that directly addresses the dramatic water loss and environmental decline of the Salton Sea.
The project will feature a boat cut in half widthwise and partially ~ bedded into the dry marina basin, positionea as if wrecked and permanently stranded. 

The work transforms the abandoned marina into a powerful visual statement about disappearance, environmental fragility, and the consequences of water depletion.",The Beach ,,,Confirmed,,Permanent,FUCK YES,,
The LiT Landing,Kevin C Key,,Object ,Extend the dock that I recently built so that it can remain in the lake for a few more years as the Salton Sea dries up. This is something the community loves. I'd like funding to extend it further out over the water and make some safety enhancements.,The Beach ,,,Confirmed,,Permanent,BBI,,
